Full,Stem,Index,Min,Max,Total,Keep,Root_Index
2baths,2bath,708,0,3,25,1,358
jetted,jet,709,0,8,233,0,
fp,fp,710,0,9,290,1,89
comfortable,comfort,711,0,23,442,1,
terrific,terrif,712,0,7,149,0,
den,den,713,0,34,885,1,
attached,attach,714,0,44,1077,1,
compliment,compliment,715,0,3,60,0,
contact,contact,716,0,6,55,0,
fantastic,fantast,721,0,22,567,0,
3bds,3bd,722,0,4,38,1,82
concept,concept,724,0,17,320,1,81
countertops,countertop,725,0,16,457,1,
espresso,espresso,726,0,4,57,1,
cabinets,cabinet,727,0,40,1367,1,
soft,soft,728,0,3,66,0,
trex,trex,730,0,4,85,1,
got,got,731,0,3,25,0,
hobby,hobbi,732,0,6,129,1,
shed,shed,734,0,18,439,1,
centers,center,735,0,14,372,1,
ba,ba,736,0,11,244,1,358
season,season,737,0,4,66,1,
dramatic,dramat,738,0,7,159,0,
airy,airi,740,0,7,149,1,
cabinetry,cabinetri,741,0,11,375,1,
overlooking,overlook,743,0,29,764,1,
3br,3br,744,0,6,68,0,82
1ba,1ba,745,0,5,49,0,358
sqft,sqft,747,0,10,187,1,
gar,gar,749,0,10,227,1,222
gated,gate,750,0,8,172,1,
drive,drive,751,0,10,180,1,
marvel,marvel,754,0,3,44,0,
miles,mile,755,0,7,113,1,
within,within,756,0,13,310,0,
bustling,bustl,757,0,4,52,1,
alki,alki,758,0,9,248,1,
beach,beach,759,0,44,933,1,
striking,strike,760,0,4,63,0,
abound,abound,761,0,9,175,0,
midcentury,midcenturi,762,0,3,28,1,
warm,warm,763,0,12,429,0,
bamboo,bamboo,764,0,10,244,1,
stained,stain,766,0,6,128,1,
spanning,span,769,0,8,46,0,
length,length,770,0,3,37,0,
sweeping,sweep,771,0,15,290,1,
elliott,elliott,773,0,4,62,1,
bay,bai,774,0,13,368,1,
only,onli,780,0,14,294,0,
cute,cute,781,0,11,297,1,
personality,person,783,0,8,202,0,
even,even,784,0,12,348,0,
future,futur,785,0,14,258,1,
add,add,786,0,20,415,0,
package,packag,787,0,6,114,0,
distance,distanc,790,0,18,450,1,
br,br,791,0,36,843,1,82
wonderfully,wonderfulli,792,0,6,90,0,
lr,lr,793,0,8,213,0,
coved,cove,794,0,19,621,0,
sewer,sewer,795,0,12,266,1,
c,c,796,0,16,221,0,
convenience,conveni,797,0,30,1006,1,
townhouse,townhous,798,0,3,32,1,
without,without,799,0,3,33,0,
walls,wall,800,0,25,779,0,
powder,powder,801,0,5,104,0,
both,both,802,0,17,512,0,
next,next,803,0,9,180,0,
perfectly,perfectli,804,0,8,217,0,
situated,situat,805,0,18,487,0,
other,other,806,0,10,292,0,
balcony,balconi,807,0,9,216,1,
vac,vac,808,0,2,27,1,1098
lawn,lawn,809,0,11,178,1,
into,into,810,0,30,717,0,
lovingly,lovingli,811,0,17,309,1,
